,PubName,Longitude,Latitude,GoogleURL
0,Last Best Brewing & Distilling,-114.074573,51.0426013,https://www.google.com/maps/place/Last+Best+Brewing+%26+Distilling/data=!4m5!3m4!1s0x53716fe2131f29b7:0x11ed44baf2978c9c!8m2!3d51.0426013!4d-114.0745733?authuser=0&hl=en&rclk=1
1,Bottlescrew Bill's Pub,-114.065449,51.043604,https://www.google.com/maps/place/Bottlescrew+Bill's+Pub/data=!4m5!3m4!1s0x537170029d2e7b69:0x9c6d40b52d2fe00a!8m2!3d51.043604!4d-114.065449?authuser=0&hl=en&rclk=1
2,Kensington Pub,-114.087557,51.0528252,https://www.google.com/maps/place/Kensington+Pub/data=!4m5!3m4!1s0x53716fe8d8e5b3a3:0x412eaba1df34aff9!8m2!3d51.0528252!4d-114.0875574?authuser=0&hl=en&rclk=1
3,The Garrison Pub & Eatery,-114.108437,51.016279,https://www.google.com/maps/place/The+Garrison+Pub+%26+Eatery/data=!4m5!3m4!1s0x537171c915af0713:0x8ab7cfa8606b0e69!8m2!3d51.016279!4d-114.108437?authuser=0&hl=en&rclk=1
4,Newcastle Pub,-114.124126,51.037655,https://www.google.com/maps/place/Newcastle+Pub/data=!4m5!3m4!1s0x53716e2c3e22ceb9:0x16054f44c6d82a04!8m2!3d51.037655!4d-114.124126?authuser=0&hl=en&rclk=1
5,The Ship & Anchor,-114.073772,51.0380222,https://www.google.com/maps/place/The+Ship+%26+Anchor/data=!4m5!3m4!1s0x537168515d7dfca9:0xff84ff0f915d0462!8m2!3d51.0380222!4d-114.0737722?authuser=0&hl=en&rclk=1
6,Kilkenny Irish Pub,-114.12688,51.0869932,https://www.google.com/maps/place/Kilkenny+Irish+Pub/data=!4m5!3m4!1s0x53716f0d56c962f5:0x5e7c6ad498f40f39!8m2!3d51.0869932!4d-114.1268808?authuser=0&hl=en&rclk=1
7,Side Street Pub & Grill,-114.089241,51.0521173,https://www.google.com/maps/place/Side+Street+Pub+%26+Grill/data=!4m5!3m4!1s0x53716fe8fc56009d:0x5cf3705776dcc7aa!8m2!3d51.0521173!4d-114.0892414?authuser=0&hl=en&rclk=1
8,St. James Corner Restaurant & Irish Pub,-114.066037,51.040691,https://www.google.com/maps/place/St.+James+Corner+Restaurant+%26+Irish+Pub/data=!4m5!3m4!1s0x537170032afb868b:0xb27b5fd7b7e07bb2!8m2!3d51.040691!4d-114.0660379?authuser=0&hl=en&rclk=1
9,Tipperary's Pub,-114.106739,51.0672919,https://www.google.com/maps/place/Tipperary's+Pub/data=!4m5!3m4!1s0x53716f97ee21ee27:0x95f81037720922cf!8m2!3d51.0672919!4d-114.1067396?authuser=0&hl=en&rclk=1
10,James Joyce Irish Pub & Restaurant,-114.06392,51.0456735,https://www.google.com/maps/place/James+Joyce+Irish+Pub+%26+Restaurant/data=!4m5!3m4!1s0x53716ffde9db34d9:0xb58cfd3ed1a2c39!8m2!3d51.0456735!4d-114.0639203?authuser=0&hl=en&rclk=1
11,Limericks Traditional Public House,-114.070813,50.988427,https://www.google.com/maps/place/Limericks+Traditional+Public+House/data=!4m5!3m4!1s0x537170fd57f5eee1:0x18ec525a262bfeec!8m2!3d50.988427!4d-114.070813?authuser=0&hl=en&rclk=1
12,Shillelagh's Pub,-114.167666,51.0373731,https://www.google.com/maps/place/Shillelagh's+Pub/data=!4m5!3m4!1s0x53716e11b7638d6b:0x4dbbd5ee91644f89!8m2!3d51.0373731!4d-114.167666?authuser=0&hl=en&rclk=1
13,The Dirty Duck,-114.032059,51.0404736,https://www.google.com/maps/place/The+Dirty+Duck/data=!4m5!3m4!1s0x53717aaff23a6fed:0xacf5219efaca40d1!8m2!3d51.0404736!4d-114.0320592?authuser=0&hl=en&rclk=1
14,The Hose and Hound Neighbourhood Pub,-114.037137,51.0426435,https://www.google.com/maps/place/The+Hose+and+Hound+Neighbourhood+Pub/data=!4m5!3m4!1s0x53717aaef1c38a65:0xa28ea654b296377b!8m2!3d51.0426435!4d-114.0371377?authuser=0&hl=en&rclk=1
15,Fiddler's Courtyard,-114.054671,51.0586419,https://www.google.com/maps/place/Fiddler's+Courtyard/data=!4m5!3m4!1s0x53a01c0151675993:0x177b24fa0172dd6b!8m2!3d51.0586419!4d-114.0546711?authuser=0&hl=en&rclk=1
16,Henry's Pub,-114.000174,51.0820601,https://www.google.com/maps/place/Henry's+Pub/data=!4m5!3m4!1s0x537164e7b937d035:0xeba501bb2e553bb!8m2!3d51.0820601!4d-114.0001743?authuser=0&hl=en&rclk=1
17,Mad Rose Pub Royal Oak,-114.210487,51.151008,https://www.google.com/maps/place/Mad+Rose+Pub+Royal+Oak/data=!4m5!3m4!1s0x537168514b8707a9:0xa5b9e26ca2ff4d44!8m2!3d51.151008!4d-114.2104875?authuser=0&hl=en&rclk=1
18,Bowness Pub,-114.199996,51.0903951,https://www.google.com/maps/place/Bowness+Pub/data=!4m5!3m4!1s0x53716ec78ce6cf9f:0x1b8b4f56c5f4fe2b!8m2!3d51.0903951!4d-114.1999968?authuser=0&hl=en&rclk=1
19,Bear & Kilt Freehouse,-114.063691,51.0456794,https://www.google.com/maps/place/Bear+%26+Kilt+Freehouse/data=!4m5!3m4!1s0x53716ffdc05897b9:0x4c76d2f11792c5c!8m2!3d51.0456794!4d-114.063691?authuser=0&hl=en&rclk=1
20,Stonewall Pub,-114.180539,51.1155836,https://www.google.com/maps/place/Stonewall+Pub/data=!4m5!3m4!1s0x537168d733c6bcab:0x2bd33a5452ee5691!8m2!3d51.1155836!4d-114.1805393?authuser=0&hl=en&rclk=1
